"country","year","threshold","personRate","householdRate","personRateNoBen","householdRateNoBen"
"HU",2010,66,0,0,0,0
"HU",2010,67,0,0,0,0
"HU",2010,68,0,0,0,0
"HU",2010,69,0,0,0,0
"HU",2010,70,0,0,0,0
"HU",2010,71,0,0,0,0
"HU",2010,72,0,0,0,0
"HU",2010,73,0,0,0,0
"HU",2010,74,0,0,0,0
"HU",2010,75,0,0,0,0
"HU",2010,76,0,0,0,0
"HU",2010,77,0,0,0,0
"HU",2010,78,0,0,0,0
"HU",2010,79,0,0,0,0
"HU",2010,80,0,0,0,0
"HU",2011,30,0,0,0,0
"HU",2011,31,0,0,0,0
"HU",2011,32,0,0,0,0
"HU",2011,33,0,0,0,0
"HU",2011,34,0,0,0,0
"HU",2011,35,0,0,0,0
"HU",2011,36,0,0,0,0
"HU",2011,37,0,0,0,0
"HU",2011,38,0,0,0,0
"HU",2011,39,0,0,0,0
"HU",2011,40,0,0,0,0
"HU",2011,41,0,0,0,0
"HU",2011,42,0,0,0,0
"HU",2011,43,0,0,0,0
"HU",2011,44,0,0,0,0
"HU",2011,45,0,0,0,0
"HU",2011,46,0,0,0,0
"HU",2011,47,0,0,0,0
"HU",2011,48,0,0,0,0
"HU",2011,49,0,0,0,0
"HU",2011,50,0,0,0,0
"HU",2011,51,0,0,0,0
"HU",2011,52,0,0,0,0
"HU",2011,53,0,0,0,0
"HU",2011,54,0,0,0,0
"HU",2011,55,0,0,0,0
"HU",2011,56,0,0,0,0
"HU",2011,57,0,0,0,0
"HU",2011,58,0,0,0,0
"HU",2011,59,0,0,0,0
"HU",2011,60,0,0,0,0
"HU",2011,61,0,0,0,0
"HU",2011,62,0,0,0,0
"HU",2011,63,0,0,0,0
"HU",2011,64,0,0,0,0
"HU",2011,65,0,0,0,0
"HU",2011,66,0,0,0,0
"HU",2011,67,0,0,0,0
"HU",2011,68,0,0,0,0
"HU",2011,69,0,0,0,0
"HU",2011,70,0,0,0,0
"HU",2011,71,0,0,0,0
"HU",2011,72,0,0,0,0
"HU",2011,73,0,0,0,0
"HU",2011,74,0,0,0,0
"HU",2011,75,0,0,0,0
"HU",2011,76,0,0,0,0
"HU",2011,77,0,0,0,0
"HU",2011,78,0,0,0,0
"HU",2011,79,0,0,0,0
"HU",2011,80,0,0,0,0
"HU",2012,30,0,0,0,0
"HU",2012,31,0,0,0,0
"HU",2012,32,0,0,0,0
"HU",2012,33,0,0,0,0
"HU",2012,34,0,0,0,0
"HU",2012,35,0,0,0,0
"HU",2012,36,0,0,0,0
"HU",2012,37,0,0,0,0
"HU",2012,38,0,0,0,0
"HU",2012,39,0,0,0,0
"HU",2012,40,0,0,0,0
"HU",2012,41,0,0,0,0
"HU",2012,42,0,0,0,0
"HU",2012,43,0,0,0,0
"HU",2012,44,0,0,0,0
"HU",2012,45,0,0,0,0
"HU",2012,46,0,0,0,0
"HU",2012,47,0,0,0,0
"HU",2012,48,0,0,0,0
"HU",2012,49,0,0,0,0
"HU",2012,50,0,0,0,0
"HU",2012,51,0,0,0,0
"HU",2012,52,0,0,0,0
"HU",2012,53,0,0,0,0
"HU",2012,54,0,0,0,0
"HU",2012,55,0,0,0,0
"HU",2012,56,0,0,0,0
"HU",2012,57,0,0,0,0
"HU",2012,58,0,0,0,0
"HU",2012,59,0,0,0,0
"HU",2012,60,0,0,0,0
"HU",2012,61,0,0,0,0
"HU",2012,62,0,0,0,0
"HU",2012,63,0,0,0,0
"HU",2012,64,0,0,0,0
"HU",2012,65,0,0,0,0
"HU",2012,66,0,0,0,0
"HU",2012,67,0,0,0,0
"HU",2012,68,0,0,0,0
"HU",2012,69,0,0,0,0
"HU",2012,70,0,0,0,0
"HU",2012,71,0,0,0,0
"HU",2012,72,0,0,0,0
"HU",2012,73,0,0,0,0
"HU",2012,74,0,0,0,0
"HU",2012,75,0,0,0,0
"HU",2012,76,0,0,0,0
"HU",2012,77,0,0,0,0
"HU",2012,78,0,0,0,0
"HU",2012,79,0,0,0,0
"HU",2012,80,0,0,0,0
"HU",2013,30,0,0,0,0
"HU",2013,31,0,0,0,0
"HU",2013,32,0,0,0,0
"HU",2013,33,0,0,0,0
"HU",2013,34,0,0,0,0
"HU",2013,35,0,0,0,0
"HU",2013,36,0,0,0,0
"HU",2013,37,0,0,0,0
"HU",2013,38,0,0,0,0
"HU",2013,39,0,0,0,0
"HU",2013,40,0,0,0,0
"HU",2013,41,0,0,0,0
"HU",2013,42,0,0,0,0
"HU",2013,43,0,0,0,0
"HU",2013,44,0,0,0,0
"HU",2013,45,0,0,0,0
"HU",2013,46,0,0,0,0
"HU",2013,47,0,0,0,0
"HU",2013,48,0,0,0,0
"HU",2013,49,0,0,0,0
"HU",2013,50,0,0,0,0
"HU",2013,51,0,0,0,0
"HU",2013,52,0,0,0,0
"HU",2013,53,0,0,0,0
"HU",2013,54,0,0,0,0
"HU",2013,55,0,0,0,0
"HU",2013,56,0,0,0,0
"HU",2013,57,0,0,0,0
"HU",2013,58,0,0,0,0
"HU",2013,59,0,0,0,0
"HU",2013,60,0,0,0,0
"HU",2013,61,0,0,0,0
"HU",2013,62,0,0,0,0
"HU",2013,63,0,0,0,0
"HU",2013,64,0,0,0,0
"HU",2013,65,0,0,0,0
"HU",2013,66,0,0,0,0
"HU",2013,67,0,0,0,0
"HU",2013,68,0,0,0,0
"HU",2013,69,0,0,0,0
"HU",2013,70,0,0,0,0
"HU",2013,71,0,0,0,0
"HU",2013,72,0,0,0,0
"HU",2013,73,0,0,0,0
"HU",2013,74,0,0,0,0
"HU",2013,75,0,0,0,0
"HU",2013,76,0,0,0,0
"HU",2013,77,0,0,0,0
"HU",2013,78,0,0,0,0
"HU",2013,79,0,0,0,0
"HU",2013,80,0,0,0,0
"HU",2014,30,0,0,0,0
"HU",2014,31,0,0,0,0
"HU",2014,32,0,0,0,0
"HU",2014,33,0,0,0,0
"HU",2014,34,0,0,0,0
"HU",2014,35,0,0,0,0
"HU",2014,36,0,0,0,0
"HU",2014,37,0,0,0,0
"HU",2014,38,0,0,0,0
"HU",2014,39,0,0,0,0
"HU",2014,40,0,0,0,0
"HU",2014,41,0,0,0,0
"HU",2014,42,0,0,0,0
"HU",2014,43,0,0,0,0
"HU",2014,44,0,0,0,0
"HU",2014,45,0,0,0,0
"HU",2014,46,0,0,0,0
"HU",2014,47,0,0,0,0
"HU",2014,48,0,0,0,0
"HU",2014,49,0,0,0,0
"HU",2014,50,0,0,0,0
"HU",2014,51,0,0,0,0
"HU",2014,52,0,0,0,0
"HU",2014,53,0,0,0,0
"HU",2014,54,0,0,0,0
"HU",2014,55,0,0,0,0
"HU",2014,56,0,0,0,0
"HU",2014,57,0,0,0,0
"HU",2014,58,0,0,0,0
"HU",2014,59,0,0,0,0
"HU",2014,60,0,0,0,0
"HU",2014,61,0,0,0,0
"HU",2014,62,0,0,0,0
"HU",2014,63,0,0,0,0
"HU",2014,64,0,0,0,0
"HU",2014,65,0,0,0,0
"HU",2014,66,0,0,0,0
"HU",2014,67,0,0,0,0
"HU",2014,68,0,0,0,0
"HU",2014,69,0,0,0,0
"HU",2014,70,0,0,0,0
"HU",2014,71,0,0,0,0
"HU",2014,72,0,0,0,0
"HU",2014,73,0,0,0,0
"HU",2014,74,0,0,0,0
"HU",2014,75,0,0,0,0
"HU",2014,76,0,0,0,0
"HU",2014,77,0,0,0,0
"HU",2014,78,0,0,0,0
"HU",2014,79,0,0,0,0
"HU",2014,80,0,0,0,0
"LV",2005,30,3.2568724058411,3.28353619338644,NA,NA
"LV",2005,31,3.28763999646388,3.33629089595301,NA,NA
"LV",2005,32,3.50380461764102,3.3276385208035,NA,NA
"LV",2005,33,3.59097590496478,3.45462493706753,NA,NA
"LV",2005,34,3.70056556088939,3.41161406269047,NA,NA
"LV",2005,35,3.76629038855123,3.32155207132805,NA,NA
"LV",2005,36,3.9753293330067,3.39889898173152,NA,NA
"LV",2005,37,4.29664742641477,3.66691902964087,NA,NA
"LV",2005,38,4.46381893266187,3.7416857501527,NA,NA
"LV",2005,39,4.69134665198384,3.90270051784625,NA,NA
"LV",2005,40,4.7583390829954,3.93238710141776,NA,NA
"LV",2005,41,4.88706414181198,3.99839714745729,NA,NA
"LV",2005,42,4.89313758543006,4.1226474706351,NA,NA
"LV",2005,43,4.90676745078741,4.38230713402366,NA,NA
"LV",2005,44,4.82944400802481,4.26963348204469,NA,NA
"LV",2005,45,4.93480147943414,4.1334622862244,NA,NA
"LV",2005,46,4.80992541160609,4.08063010677654,NA,NA
"LV",2005,47,4.75030516602107,3.92260150180058,NA,NA
"LV",2005,48,4.87127084234212,3.83467451285816,NA,NA
"LV",2005,49,4.74028983037927,3.88033256345949,NA,NA
"LV",2005,50,4.89891303217038,3.58400295611651,NA,NA
"LV",2005,51,4.86049738032013,3.40252238098216,NA,NA
"LV",2005,52,5.14255471049063,3.37802213992111,NA,NA
"LV",2005,53,5.48242096640747,3.38345237720659,NA,NA
"LV",2005,54,5.32726063750731,3.79613373133834,NA,NA
"LV",2005,55,5.45183630028559,3.52061778777231,NA,NA
"LV",2005,56,5.28036665899211,3.66472720206224,NA,NA
"LV",2005,57,5.19385428939781,3.63847362158471,NA,NA
"LV",2005,58,5.62579090138764,3.95608943516762,NA,NA
"LV",2005,59,5.97151377579988,3.90683273943677,NA,NA
"LV",2005,60,6.38886628987533,4.006982403102,NA,NA
"LV",2005,61,6.36434712618978,4.21913850342787,NA,NA
"LV",2005,62,6.47832917754765,4.38299995397248,NA,NA
"LV",2005,63,6.34014283420694,5.20040722074112,NA,NA
"LV",2005,64,6.47242885736008,5.4794487545715,NA,NA
"LV",2005,65,6.39854967706834,5.95239948980028,NA,NA
"LV",2005,66,6.5492147464253,6.0064408882066,NA,NA
"LV",2005,67,6.71198476842499,6.17524042739549,NA,NA
"LV",2005,68,6.54500556919038,6.36247796383978,NA,NA
"LV",2005,69,6.44442233213344,6.4048151233746,NA,NA
"LV",2005,70,6.42538234900073,6.16026060348128,NA,NA
"LV",2005,71,6.28924758320578,6.31027579197346,NA,NA
"LV",2005,72,6.36903090871176,6.65539631034509,NA,NA
"LV",2005,73,6.24509097782042,6.65404378232855,NA,NA
"LV",2005,74,6.5023490018354,6.33317397945022,NA,NA
"LV",2005,75,6.34513065366333,6.14411259672834,NA,NA
"LV",2005,76,6.23576212420856,5.90965586551542,NA,NA
"LV",2005,77,6.59958987836626,5.63177082448289,NA,NA
"LV",2005,78,6.6097046357067,5.78658814651339,NA,NA
"LV",2005,79,6.43032009599101,5.880907177703,NA,NA
"LV",2005,80,6.61849767418427,5.73963877150189,NA,NA
"LV",2006,30,2.34638765071147,2.02961944228962,NA,NA
"LV",2006,31,2.38281947131702,2.03582914895224,NA,NA
"LV",2006,32,2.46805130113295,2.22759508153374,NA,NA
"LV",2006,33,2.57414236244455,2.13556597627828,NA,NA
"LV",2006,34,2.5364882496989,2.14493676723597,NA,NA
"LV",2006,35,2.46686162515891,2.2535678460445,NA,NA
"LV",2006,36,2.73399310896674,2.16692728202429,NA,NA
"LV",2006,37,2.88801267875403,2.27596124199283,NA,NA
"LV",2006,38,2.91743351757791,2.26954945728382,NA,NA
"LV",2006,39,2.92568352647212,2.24260315088158,NA,NA
"LV",2006,40,3.02719101268303,2.23097597181419,NA,NA
"LV",2006,41,3.16609631487989,2.47659954637079,NA,NA
"LV",2006,42,3.31925721412097,2.37509899351675,NA,NA
"LV",2006,43,3.46040168652187,2.41726518069494,NA,NA
"LV",2006,44,3.69741583882991,2.45520619308108,NA,NA
"LV",2006,45,3.77585443508243,2.54716454884606,NA,NA
"LV",2006,46,4.18370320620989,2.69072622384254,NA,NA
"LV",2006,47,4.38210567320682,2.65840132710605,NA,NA
"LV",2006,48,4.85559409347377,3.30453930951201,NA,NA
"LV",2006,49,5.15079396338787,3.45736719255539,NA,NA
"LV",2006,50,5.84323643795456,3.75318642094914,NA,NA
"LV",2006,51,6.2733355382795,3.98357858618839,NA,NA
"LV",2006,52,6.82884582412416,4.28054708954281,NA,NA
"LV",2006,53,7.25576669699796,4.87047072395426,NA,NA
"LV",2006,54,7.4069592458568,5.42101070331637,NA,NA
"LV",2006,55,7.45382102323084,6.42379551284112,NA,NA
"LV",2006,56,7.7369440068374,7.02265588548711,NA,NA
"LV",2006,57,7.47752431886624,7.63006454643457,NA,NA
"LV",2006,58,7.45024688565469,7.91513564139936,NA,NA
"LV",2006,59,7.58601076111033,8.17877064591737,NA,NA
"LV",2006,60,7.66923549158671,8.2775368848158,NA,NA
"LV",2006,61,7.29582904476111,8.63619823822408,NA,NA
"LV",2006,62,7.14314914999196,8.76192451321971,NA,NA
"LV",2006,63,7.1199118657423,8.77218604422527,NA,NA
"LV",2006,64,7.04901554504719,8.57239887504125,NA,NA
"LV",2006,65,6.89282412836138,8.81522707294464,NA,NA
"LV",2006,66,7.66207186788725,8.99014214803994,NA,NA
"LV",2006,67,7.7329492722853,8.64496597725983,NA,NA
"LV",2006,68,7.95257035525109,8.77171455467925,NA,NA
"LV",2006,69,7.98401999460374,8.27777279006334,NA,NA
"LV",2006,70,8.12906686608376,8.25778440801153,NA,NA
"LV",2006,71,8.0029791135896,8.01468737244879,NA,NA
"LV",2006,72,7.89739472673384,7.71218081224114,NA,NA
"LV",2006,73,8.05586392403611,8.14817662389136,NA,NA
"LV",2006,74,7.54318019110112,8.15548933071908,NA,NA
"LV",2006,75,7.61294240957701,8.16702143511483,NA,NA
"LV",2006,76,7.38506221099075,8.09244468116995,NA,NA
"LV",2006,77,7.14398959776015,7.6356999496772,NA,NA
"LV",2006,78,6.94610032055855,7.52402069249759,NA,NA
"LV",2006,79,7.0980556341604,7.14066660259994,NA,NA
"LV",2006,80,6.47893967922968,7.09403608556332,NA,NA
"LV",2007,30,2.47090692073431,3.24710131200408,1.74053155648749,2.71790468413736
"LV",2007,31,2.71925918804199,3.26776588337729,2.19533553459316,2.6880294658943
"LV",2007,32,2.77903610299933,3.15522303089496,2.13588985753388,2.60091353604529
"LV",2007,33,3.06718683113622,3.06283130166911,2.28762570735229,2.53210183236511
"LV",2007,34,3.17443651612363,3.29748797291365,2.3479862567341,2.95378616428904
"LV",2007,35,3.37650731872917,3.33544627216659,2.614958301577,2.88978777032337
"LV",2007,36,3.54451151754992,3.28684746396022,2.61702367867848,2.92333859269836
"LV",2007,37,3.54960042220854,3.5519574375713,2.78463427285869,2.82363049242503
"LV",2007,38,3.95800531532695,3.60119126958482,3.26596104515105,2.94677692872037
"LV",2007,39,4.14360061682138,3.7687187375194,3.43543527388881,3.11538990601841
"LV",2007,40,4.81030263303432,4.01492651177739,4.0536100294338,3.481307113508
"LV",2007,41,4.9798792279738,4.17493887603632,4.18695936342398,3.77870306015787
"LV",2007,42,4.91105909716778,4.52807291895821,4.14197884589391,4.1709013331141
"LV",2007,43,5.00886254437719,4.69583281852718,4.23267776156414,4.27690664509801
"LV",2007,44,5.42703323057443,5.30551372640283,4.65743888974686,4.97594606782722
"LV",2007,45,5.60612805546373,5.64321338274692,4.93908213520064,5.23586109852644
"LV",2007,46,6.12872785235177,5.77505641267045,5.38052300538737,5.35941228664905
"LV",2007,47,6.33787202407264,5.85772447480104,5.62225359619164,5.44637599708815
"LV",2007,48,6.74555670203088,6.02813077174923,6.34965222888816,5.74088141408732
"LV",2007,49,7.12527729916515,6.5519117903965,6.79174249017537,6.37481605110146
"LV",2007,50,7.55786360795288,6.80538112952687,7.2518364308344,6.65827678287502
"LV",2007,51,7.57558247584793,7.60970387493128,7.321341665644,7.32341755533532
"LV",2007,52,7.57718287398948,8.10269323060268,7.35298280340242,7.85550592373459
"LV",2007,53,7.76416693345168,8.57735834123992,7.5450458920417,8.47851281168852
"LV",2007,54,8.00377321133009,9.29274066016753,7.65744622186938,9.21298959251681
"LV",2007,55,8.18353398134969,9.68444672363365,7.95356352161126,9.68194054438878
"LV",2007,56,8.21849009955498,10.0872755879648,7.81399306294272,10.1103457322121
"LV",2007,57,8.39016568541948,10.6438353652351,7.96365329454109,10.6705233972815
"LV",2007,58,8.64572912882813,10.7625189832413,8.15964707078274,10.8398485902353
"LV",2007,59,9.17437751702471,10.7641894145066,8.60172977777265,10.8680089194076
"LV",2007,60,9.53113950789122,11.2080953698698,8.86282238026116,11.1623332822099
"LV",2007,61,9.37745313533853,11.2192547479235,8.81086012667213,11.2564166222463
"LV",2007,62,9.24187561762612,11.1875979254715,8.68413257208521,11.2897374218991
"LV",2007,63,9.1487111580671,11.1532987609914,8.75886101427759,11.1741717003618
"LV",2007,64,9.61653121287572,11.3387923772862,9.16034081063325,11.464534480076
"LV",2007,65,10.3927425867701,11.4947678656316,9.84566824095619,11.621272152402
"LV",2007,66,10.5159052107239,11.6070041108799,9.87235582794822,11.7847304015388
"LV",2007,67,10.6640854451015,11.3957742544518,10.2190388992398,11.6567918639435
"LV",2007,68,10.5585188362737,11.3027999134215,10.0892629260251,11.5131970990299
"LV",2007,69,10.9712340983785,11.3809232991184,10.5442133702031,11.7048922567698
"LV",2007,70,10.9618655760765,11.2948839834058,10.6378135391656,11.6124131502139
"LV",2007,71,10.6721658827026,11.1927257004266,10.8965980661131,11.4326361420307
"LV",2007,72,10.7263038520796,11.4204228662069,11.0923931146253,11.5296711622444
"LV",2007,73,10.7804461505079,11.256061319958,11.0928020657852,11.4767311226046
"LV",2007,74,10.58042693458,11.0134243712751,10.9414730507132,11.5474657909783
"LV",2007,75,10.3029406269355,10.8379868913797,10.9942130429485,11.3071021501259
"LV",2007,76,9.82820182749379,10.5043389196657,10.0834407264263,11.0722081963271
"LV",2007,77,9.74734256587769,10.1596926721634,9.77378689798073,10.6904677684059
"LV",2007,78,9.76369199600525,9.76783909227768,9.92468036955562,10.5341526291833
"LV",2007,79,9.53387482874564,9.5217693607692,9.71369653855765,10.1980943609638
"LV",2007,80,9.09373170320052,9.32175839590854,9.3472495692631,10.1556867276339
